Order Id,Order Date,Ship Date,Customer Id,Customer Name,Customer Segment,Product Id,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount %,Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Reorder Point,Auto Reorder,Reorder Quantity
ORD1012,28-05-2024,02-06-2024,CUST1274,Indira Gole,Home Office,PROD1002,Sofa,Furniture,East,Uttarakhand,Giridih,5,10208,20,40832.0,6313.28,9265.6,Cash,Pending,Wali-Choudhry,gaurika24@banerjee.org,86,19,No,0
ORD1013,28-04-2025,02-05-2025,CUST1055,Bhavani Kapur,Home Office,PROD1005,Pen,Office Supplies,East,Sikkim,South Dumdum,6,5109,0,30654.0,1994.08,18689.52,Net Banking,Delivered,"Bera, Dutta and Saraf",htata@sharaf-loyal.com,76,18,No,0
ORD1014,26-02-2023,28-02-2023,CUST1287,Brijesh Bakshi,Consumer,PROD1013,Headphones,Electronics,North,Uttar Pradesh,Howrah,3,5858,0,17574.0,3406.43,7354.71,UPI,Pending,Bal-Goel,banikgautam@kuruvilla.net,41,24,No,0
ORD1015,15-09-2025,17-09-2025,CUST1201,Owen Pandey,Home Office,PROD1015,Rice Bag,Grocery,West,Arunachal Pradesh,Anand,1,11182,20,8945.6,8707.28,238.32,Cash,Cancelled,Gill Group,tanvi56@sangha-parsa.org,15,28,Yes,49
ORD1016,07-09-2023,11-09-2023,CUST1080,Janya Taneja,Home Office,PROD1004,Dining Table,Furniture,East,Bihar,Nellore,4,13253,0,53012.0,4559.47,34774.12,UPI,Delivered,Kulkarni Ltd,pallavi25@sarma-minhas.com,53,23,No,0
ORD1017,19-03-2023,24-03-2023,CUST1067,Avni Comar,Consumer,PROD1005,Pen,Office Supplies,East,Kerala,Munger,3,5109,5,14560.65,1994.08,8578.41,Credit Card,Cancelled,"More, Parmer and Dey",vgola@balakrishnan-sarin.net,76,18,No,0
ORD1018,29-08-2025,02-09-2025,CUST1167,Pallavi Mishra,Home Office,PROD1014,Monitor,Electronics,North,Uttarakhand,Ozhukarai,3,7430,20,17832.0,2466.9,10431.3,Cash,Pending,Sethi-Natarajan,dinhredhaan@sodhi-mani.info,55,27,No,0
ORD1019,30-12-2024,06-01-2025,CUST1066,William Raval,Corporate,PROD1016,Cooking Oil,Grocery,North,Andhra Pradesh,Kolhapur,6,4479,10,24186.6,2868.85,6973.5,Cash,Cancelled,"Vig, Purohit and Saraf",lnarula@edwin-dalal.com,13,25,Yes,47
ORD1020,14-04-2025,15-04-2025,CUST1017,Diya Mander,Corporate,PROD1001,Study Table,Furniture,South,Uttar Pradesh,Gorakhpur,8,4700,15,31960.0,3230.55,6115.6,UPI,Cancelled,"Bhargava, Oommen and Sethi",khannanirja@gopal.info,94,28,No,0
ORD1021,10-02-2025,17-02-2025,CUST1138,Aishani Loke,Consumer,PROD1006,Notebook,Office Supplies,North,Sikkim,Ratlam,6,12362,5,70463.4,4997.68,40477.32,Credit Card,Pending,Raval-Sani,bariaodika@sane.com,100,24,No,0
ORD1022,14-03-2023,21-03-2023,CUST1099,Champak Chander,Corporate,PROD1011,Keyboard,Electronics,South,Jharkhand,Kadapa,2,4734,20,7574.4,2786.2,2002.0,UPI,Cancelled,Buch and Sons,balizaitra@chada.info,45,23,No,0
ORD1023,22-12-2024,24-12-2024,CUST1189,Radha Maharaj,Corporate,PROD1016,Cooking Oil,Grocery,North,Maharashtra,Ambala,8,4479,15,30457.2,2868.85,7506.4,Cash,Returned,Mahal-Oza,omyabaral@rajagopal.com,13,25,Yes,47
ORD1024,05-09-2023,06-09-2023,CUST1019,Irya Chokshi,Corporate,PROD1004,Dining Table,Furniture,South,Chhattisgarh,Bathinda,6,13253,20,63614.4,4559.47,36257.58,Net Banking,Pending,Srivastava Ltd,viraj89@shan.net,53,23,No,0
ORD1025,05-08-2024,11-08-2024,CUST1199,Jagvi Natt,Home Office,PROD1016,Cooking Oil,Grocery,South,Maharashtra,Davanagere,2,4479,20,7166.4,2868.85,1428.7,Cash,Cancelled,Gill Group,tanvi56@sangha-parsa.org,13,25,Yes,47
ORD1026,29-07-2023,02-08-2023,CUST1202,Vihaan Mannan,Corporate,PROD1016,Cooking Oil,Grocery,West,Gujarat,Chittoor,10,4479,5,42550.5,2868.85,13862.0,UPI,Delivered,"Amble, Bhargava and Rau",warindersharaf@ramanathan.com,13,25,Yes,47
ORD1027,04-03-2025,09-03-2025,CUST1107,Januja Sodhi,Consumer,PROD1008,File Folder,Office Supplies,West,Nagaland,Bettiah,8,1640,0,13120.0,1112.22,4222.24,UPI,Delivered,Raval-Sani,bariaodika@sane.com,87,28,No,0
ORD1028,10-10-2024,16-10-2024,CUST1194,Gopal Subramanian,Home Office,PROD1015,Rice Bag,Grocery,East,Assam,Sambhal,8,11182,5,84983.2,8707.28,15324.96,UPI,Cancelled,"Amble, Bhargava and Rau",warindersharaf@ramanathan.com,15,28,Yes,49
ORD1029,20-09-2023,24-09-2023,CUST1049,Ucchal Balakrishnan,Corporate,PROD1004,Dining Table,Furniture,North,Rajasthan,Pondicherry,9,13253,10,107349.3,4559.47,66314.07,Cash,Pending,Srivastava Ltd,viraj89@shan.net,53,23,No,0
ORD1030,14-04-2023,19-04-2023,CUST1051,Neel Basu,Home Office,PROD1015,Rice Bag,Grocery,North,Andhra Pradesh,Bulandshahr,6,11182,20,53673.6,8707.28,1429.92,Cash,Pending,"Vig, Purohit and Saraf",lnarula@edwin-dalal.com,15,28,Yes,49
ORD1031,19-04-2024,21-04-2024,CUST1078,Amrita Narayan,Home Office,PROD1010,Laptop,Electronics,North,Punjab,Bhalswa Jahangir Pur,8,6866,15,46688.8,3602.05,17872.4,Credit Card,Delivered,Hari-Sehgal,harishrege@karpe.net,15,31,Yes,41
ORD1032,20-10-2025,21-10-2025,CUST1244,Janya Bhattacharyya,Consumer,PROD1005,Pen,Office Supplies,North,Uttar Pradesh,Allahabad,7,5109,5,33974.85,1994.08,20016.29,Credit Card,Pending,Swaminathan PLC,jaichopra@nadig-dube.net,76,18,No,0
ORD1033,18-03-2024,25-03-2024,CUST1230,Indrajit Madan,Home Office,PROD1005,Pen,Office Supplies,South,Uttar Pradesh,Gudivada,6,5109,20,24523.2,1994.08,12558.72,Net Banking,Cancelled,Raval-Sani,bariaodika@sane.com,76,18,No,0
ORD1034,22-08-2025,28-08-2025,CUST1166,Isaiah Khurana,Home Office,PROD1001,Study Table,Furniture,West,Tamil Nadu,Kurnool,9,4700,20,33840.0,3230.55,4765.05,Cash,Pending,Srivastava Ltd,viraj89@shan.net,94,28,No,0
ORD1035,27-08-2024,03-09-2024,CUST1294,Ekiya Loyal,Consumer,PROD1002,Sofa,Furniture,North,Assam,Chandrapur,10,10208,5,96976.0,6313.28,33843.2,UPI,Pending,Kulkarni Ltd,pallavi25@sarma-minhas.com,86,19,No,0
ORD1036,25-06-2023,30-06-2023,CUST1085,Yahvi Vyas,Corporate,PROD1002,Sofa,Furniture,West,West Bengal,Thane,3,10208,0,30624.0,6313.28,11684.16,Cash,Pending,Wali-Choudhry,gaurika24@banerjee.org,86,19,No,0
ORD1037,05-01-2023,07-01-2023,CUST1087,Tanay Sem,Consumer,PROD1015,Rice Bag,Grocery,North,Nagaland,Ramgarh,3,11182,20,26836.8,8707.28,714.96,UPI,Returned,Mahal-Oza,omyabaral@rajagopal.com,15,28,Yes,49
ORD1038,01-12-2023,06-12-2023,CUST1043,Shivani Deep,Corporate,PROD1004,Dining Table,Furniture,West,Manipur,Firozabad,7,13253,10,83493.9,4559.47,51577.61,Credit Card,Delivered,"Mistry, Sarkar and Madan",lataanmol@varughese-lanka.net,53,23,No,0
ORD1039,14-10-2025,16-10-2025,CUST1129,Vritti Deep,Home Office,PROD1015,Rice Bag,Grocery,West,Assam,Ichalkaranji,8,11182,20,71564.8,8707.28,1906.56,UPI,Delivered,"Amble, Bhargava and Rau",warindersharaf@ramanathan.com,15,28,Yes,49
ORD1040,25-07-2023,31-07-2023,CUST1080,Janya Taneja,Home Office,PROD1004,Dining Table,Furniture,West,Bihar,Nellore,4,13253,20,42409.6,4559.47,24171.72,Cash,Pending,"Bhargava, Oommen and Sethi",khannanirja@gopal.info,53,23,No,0
ORD1041,28-12-2025,02-01-2026,CUST1201,Owen Pandey,Home Office,PROD1012,Mouse,Electronics,West,Arunachal Pradesh,Anand,2,6429,10,11572.2,4008.17,3555.86,Credit Card,Returned,Buch and Sons,balizaitra@chada.info,76,29,No,0
ORD1042,26-05-2025,29-05-2025,CUST1020,Siya Nayak,Consumer,PROD1015,Rice Bag,Grocery,South,Maharashtra,Pudukkottai,9,11182,10,90574.2,8707.28,12208.68,UPI,Delivered,Dube-Mander,vchoudhry@dhar.com,15,28,Yes,49
ORD1043,17-12-2024,23-12-2024,CUST1111,Chanchal Pathak,Consumer,PROD1015,Rice Bag,Grocery,South,Assam,Rohtak,7,11182,15,66532.9,8707.28,5581.94,Cash,Cancelled,"Amble, Bhargava and Rau",warindersharaf@ramanathan.com,15,28,Yes,49
ORD1044,07-01-2025,13-01-2025,CUST1023,Priya Grover,Home Office,PROD1013,Headphones,Electronics,North,Madhya Pradesh,Rampur,10,5858,0,58580.0,3406.43,24515.7,UPI,Returned,Bawa LLC,xpant@nadkarni.com,41,24,No,0
ORD1045,16-05-2024,23-05-2024,CUST1093,Jai Patla,Corporate,PROD1014,Monitor,Electronics,West,Arunachal Pradesh,Katni,6,7430,10,40122.0,2466.9,25320.6,Cash,Returned,Bawa LLC,xpant@nadkarni.com,55,27,No,0
ORD1046,18-07-2024,25-07-2024,CUST1214,Advik Dugar,Consumer,PROD1003,Bookshelf,Furniture,North,Punjab,Pallavaram,5,12860,5,61085.0,8267.37,19748.15,Cash,Returned,"Mistry, Sarkar and Madan",lataanmol@varughese-lanka.net,69,21,No,0
ORD1047,24-12-2024,31-12-2024,CUST1294,Ekiya Loyal,Consumer,PROD1013,Headphones,Electronics,South,Assam,Chandrapur,6,5858,10,31633.2,3406.43,11194.62,UPI,Pending,Hari-Sehgal,harishrege@karpe.net,41,24,No,0
ORD1048,05-09-2023,06-09-2023,CUST1235,Faras Gola,Home Office,PROD1002,Sofa,Furniture,East,Meghalaya,Rajpur Sonarpur,4,10208,0,40832.0,6313.28,15578.88,UPI,Pending,Khosla and Sons,bhagatcaleb@gaba-ravi.com,86,19,No,0
ORD1049,14-10-2023,19-10-2023,CUST1194,Gopal Subramanian,Home Office,PROD1008,File Folder,Office Supplies,South,Assam,Sambhal,10,1640,5,15580.0,1112.22,4457.8,UPI,Delivered,Raval-Sani,bariaodika@sane.com,87,28,No,0
ORD1050,05-10-2025,11-10-2025,CUST1242,Vivaan Chandra,Consumer,PROD1015,Rice Bag,Grocery,East,Sikkim,Aligarh,8,11182,5,84983.2,8707.28,15324.96,Net Banking,Cancelled,"Amble, Bhargava and Rau",warindersharaf@ramanathan.com,15,28,Yes,49
ORD1051,03-01-2024,10-01-2024,CUST1015,Qabil Chaudhary,Corporate,PROD1016,Cooking Oil,Grocery,East,Punjab,Noida,6,4479,20,21499.2,2868.85,4286.1,UPI,Delivered,Dube-Mander,vchoudhry@dhar.com,13,25,Yes,47
ORD1052,18-04-2023,22-04-2023,CUST1164,Laksh Prasad,Consumer,PROD1005,Pen,Office Supplies,East,Goa,Salem,10,5109,10,45981.0,1994.08,26040.2,Credit Card,Cancelled,Raval-Sani,bariaodika@sane.com,76,18,No,0
ORD1053,28-05-2023,01-06-2023,CUST1237,Jonathan Modi,Corporate,PROD1014,Monitor,Electronics,West,Tripura,Bhubaneswar,10,7430,5,70585.0,2466.9,45916.0,Cash,Pending,Hari-Sehgal,harishrege@karpe.net,55,27,No,0
ORD1054,26-08-2025,30-08-2025,CUST1027,Meera Dada,Home Office,PROD1016,Cooking Oil,Grocery,West,Rajasthan,Nagercoil,8,4479,10,32248.8,2868.85,9298.0,Cash,Returned,Dube-Mander,vchoudhry@dhar.com,13,25,Yes,47
ORD1055,28-04-2023,29-04-2023,CUST1104,Garima Lalla,Consumer,PROD1013,Headphones,Electronics,East,Uttarakhand,Pune,7,5858,10,36905.4,3406.43,13060.39,Cash,Pending,Sethi-Natarajan,dinhredhaan@sodhi-mani.info,41,24,No,0
ORD1056,16-09-2023,19-09-2023,CUST1225,Vivaan Nagar,Corporate,PROD1006,Notebook,Office Supplies,West,Maharashtra,Jorhat,6,12362,20,59337.6,4997.68,29351.52,Cash,Delivered,Swaminathan PLC,jaichopra@nadig-dube.net,100,24,No,0
ORD1057,03-11-2025,05-11-2025,CUST1295,Ucchal Barman,Consumer,PROD1000,Office Chairs,Furniture,South,Meghalaya,Ichalkaranji,10,10918,5,103721.0,4093.13,62789.7,UPI,Delivered,"Mistry, Sarkar and Madan",lataanmol@varughese-lanka.net,11,32,Yes,50
ORD1058,14-06-2024,16-06-2024,CUST1098,Ubika Gole,Corporate,PROD1008,File Folder,Office Supplies,West,Maharashtra,Sagar,7,1640,5,10906.0,1112.22,3120.46,Cash,Returned,"Bera, Dutta and Saraf",htata@sharaf-loyal.com,87,28,No,0
ORD1059,26-03-2025,31-03-2025,CUST1258,Jagvi Chander,Consumer,PROD1007,Stapler,Office Supplies,North,Tripura,Nagaon,1,10905,5,10359.75,8458.2,1901.55,UPI,Pending,Majumdar-Kala,ykhanna@anne-rama.net,14,31,Yes,34
ORD1060,30-07-2023,05-08-2023,CUST1191,Lajita Varghese,Home Office,PROD1015,Rice Bag,Grocery,South,Telangana,Karnal,2,11182,10,20127.6,8707.28,2713.04,Cash,Delivered,Mann LLC,gilljhalak@dhaliwal.com,15,28,Yes,49
ORD1061,10-10-2023,15-10-2023,CUST1212,David Gara,Corporate,PROD1014,Monitor,Electronics,East,Goa,Hindupur,9,7430,15,56839.5,2466.9,34637.4,Cash,Returned,"Rajagopalan, Bains and Shere",mwalia@chhabra.net,55,27,No,0
ORD1062,19-10-2023,21-10-2023,CUST1250,Darika Malhotra,Home Office,PROD1013,Headphones,Electronics,West,Chhattisgarh,Amritsar,5,5858,0,29290.0,3406.43,12257.85,Net Banking,Pending,Buch and Sons,balizaitra@chada.info,41,24,No,0
ORD1063,10-11-2024,15-11-2024,CUST1165,Abha Zachariah,Consumer,PROD1015,Rice Bag,Grocery,East,Goa,Parbhani,3,11182,15,28514.1,8707.28,2392.26,UPI,Delivered,Dube-Mander,vchoudhry@dhar.com,15,28,Yes,49
ORD1064,25-01-2025,01-02-2025,CUST1097,Samar Oza,Home Office,PROD1016,Cooking Oil,Grocery,West,Meghalaya,Vadodara,9,4479,15,34264.35,2868.85,8444.7,Net Banking,Cancelled,"Vig, Purohit and Saraf",lnarula@edwin-dalal.com,13,25,Yes,47
ORD1065,06-07-2025,10-07-2025,CUST1235,Faras Gola,Home Office,PROD1005,Pen,Office Supplies,North,Meghalaya,Rajpur Sonarpur,1,5109,15,4342.65,1994.08,2348.57,Cash,Pending,Raval-Sani,bariaodika@sane.com,76,18,No,0
ORD1066,09-09-2025,16-09-2025,CUST1049,Ucchal Balakrishnan,Corporate,PROD1009,Calculator,Office Supplies,East,Rajasthan,Pondicherry,6,14475,10,78165.0,10128.45,17394.3,Credit Card,Cancelled,Majumdar-Kala,ykhanna@anne-rama.net,81,19,No,0
ORD1067,16-02-2023,23-02-2023,CUST1133,Wazir Andra,Home Office,PROD1015,Rice Bag,Grocery,West,Mizoram,Hazaribagh,10,11182,20,89456.0,8707.28,2383.2,Credit Card,Delivered,Dube-Mander,vchoudhry@dhar.com,15,28,Yes,49
ORD1068,02-05-2025,09-05-2025,CUST1282,Xavier Wali,Corporate,PROD1012,Mouse,Electronics,West,West Bengal,Belgaum,3,6429,20,15429.6,4008.17,3405.09,UPI,Cancelled,Buch and Sons,balizaitra@chada.info,76,29,No,0
ORD1069,27-08-2023,31-08-2023,CUST1212,David Gara,Corporate,PROD1004,Dining Table,Furniture,South,Goa,Hindupur,6,13253,15,67590.3,4559.47,40233.48,UPI,Delivered,Kulkarni Ltd,pallavi25@sarma-minhas.com,53,23,No,0
ORD1070,23-12-2025,25-12-2025,CUST1117,Gunbir Sahni,Home Office,PROD1007,Stapler,Office Supplies,South,Odisha,Erode,2,10905,15,18538.5,8458.2,1622.1,Net Banking,Pending,Ben Ltd,gunbir50@kuruvilla.com,14,31,Yes,34
ORD1071,30-04-2024,06-05-2024,CUST1237,Jonathan Modi,Corporate,PROD1011,Keyboard,Electronics,South,Tripura,Bhubaneswar,8,4734,0,37872.0,2786.2,15582.4,Net Banking,Pending,Sethi-Natarajan,dinhredhaan@sodhi-mani.info,45,23,No,0
ORD1072,27-01-2025,30-01-2025,CUST1014,Jagat Sura,Corporate,PROD1009,Calculator,Office Supplies,West,Meghalaya,Bulandshahr,7,14475,15,86126.25,10128.45,15227.1,UPI,Delivered,Swaminathan PLC,jaichopra@nadig-dube.net,81,19,No,0
ORD1073,18-07-2023,19-07-2023,CUST1024,Vasana Viswanathan,Home Office,PROD1015,Rice Bag,Grocery,South,Odisha,Ludhiana,10,11182,15,95047.0,8707.28,7974.2,Net Banking,Delivered,Gill Group,tanvi56@sangha-parsa.org,15,28,Yes,49
ORD1074,07-10-2023,10-10-2023,CUST1176,Riya Kalla,Corporate,PROD1009,Calculator,Office Supplies,South,Punjab,Machilipatnam,10,14475,15,123037.5,10128.45,21753.0,UPI,Pending,"Bera, Dutta and Saraf",htata@sharaf-loyal.com,81,19,No,0
ORD1075,27-04-2025,02-05-2025,CUST1240,Shivansh Khalsa,Corporate,PROD1011,Keyboard,Electronics,West,Haryana,Raurkela Industrial Township,1,4734,10,4260.6,2786.2,1474.4,Net Banking,Cancelled,Bal-Goel,banikgautam@kuruvilla.net,45,23,No,0
ORD1076,14-05-2024,17-05-2024,CUST1060,Yatin Lala,Home Office,PROD1013,Headphones,Electronics,North,Kerala,Indore,1,5858,10,5272.2,3406.43,1865.77,Cash,Pending,Hari-Sehgal,harishrege@karpe.net,41,24,No,0
ORD1077,01-06-2023,03-06-2023,CUST1065,Yashasvi Kaul,Corporate,PROD1007,Stapler,Office Supplies,South,Andhra Pradesh,Karawal Nagar,6,10905,0,65430.0,8458.2,14680.8,Cash,Delivered,Majumdar-Kala,ykhanna@anne-rama.net,14,31,Yes,34
ORD1078,09-04-2025,14-04-2025,CUST1181,Adweta Bir,Corporate,PROD1016,Cooking Oil,Grocery,North,Himachal Pradesh,Tadepalligudem,7,4479,5,29785.35,2868.85,9703.4,Credit Card,Returned,Mahal-Oza,omyabaral@rajagopal.com,13,25,Yes,47
ORD1079,19-05-2025,26-05-2025,CUST1067,Avni Comar,Consumer,PROD1007,Stapler,Office Supplies,North,Kerala,Munger,10,10905,10,98145.0,8458.2,13563.0,Cash,Returned,Ben Ltd,gunbir50@kuruvilla.com,14,31,Yes,34
ORD1080,10-07-2025,16-07-2025,CUST1123,Balendra Sani,Corporate,PROD1002,Sofa,Furniture,West,Uttar Pradesh,Singrauli,1,10208,15,8676.8,6313.28,2363.52,Net Banking,Cancelled,Arya-Malhotra,jeremiah96@de.com,86,19,No,0
ORD1081,04-06-2024,06-06-2024,CUST1167,Pallavi Mishra,Home Office,PROD1011,Keyboard,Electronics,East,Uttarakhand,Ozhukarai,5,4734,5,22486.5,2786.2,8555.5,UPI,Cancelled,Sethi-Natarajan,dinhredhaan@sodhi-mani.info,45,23,No,0
ORD1082,10-02-2024,14-02-2024,CUST1191,Lajita Varghese,Home Office,PROD1010,Laptop,Electronics,North,Telangana,Karnal,5,6866,10,30897.0,3602.05,12886.75,UPI,Returned,Buch and Sons,balizaitra@chada.info,15,31,Yes,41
ORD1083,13-10-2024,14-10-2024,CUST1080,Janya Taneja,Home Office,PROD1003,Bookshelf,Furniture,South,Bihar,Nellore,2,12860,5,24434.0,8267.37,7899.26,Net Banking,Returned,Khosla and Sons,bhagatcaleb@gaba-ravi.com,69,21,No,0
ORD1084,03-11-2024,07-11-2024,CUST1277,Hemang Kapur,Consumer,PROD1006,Notebook,Office Supplies,West,Haryana,Guntakal,6,12362,15,63046.2,4997.68,33060.12,Net Banking,Pending,Raval-Sani,bariaodika@sane.com,100,24,No,0
ORD1085,17-02-2025,18-02-2025,CUST1260,Harsh Kohli,Corporate,PROD1007,Stapler,Office Supplies,West,Kerala,Chandrapur,8,10905,10,78516.0,8458.2,10850.4,Credit Card,Cancelled,Ben Ltd,gunbir50@kuruvilla.com,14,31,Yes,34
ORD1086,15-02-2023,18-02-2023,CUST1191,Lajita Varghese,Home Office,PROD1010,Laptop,Electronics,East,Telangana,Karnal,10,6866,10,61794.0,3602.05,25773.5,UPI,Pending,Bal-Goel,banikgautam@kuruvilla.net,15,31,Yes,41
ORD1087,24-12-2024,27-12-2024,CUST1009,Varsha Wali,Consumer,PROD1008,File Folder,Office Supplies,East,Kerala,Bhimavaram,5,1640,15,6970.0,1112.22,1408.9,Credit Card,Delivered,Ben Ltd,gunbir50@kuruvilla.com,87,28,No,0
ORD1088,04-12-2025,11-12-2025,CUST1197,Aarini Parmer,Corporate,PROD1014,Monitor,Electronics,East,Gujarat,Gandhinagar,2,7430,0,14860.0,2466.9,9926.2,Credit Card,Delivered,Bal-Goel,banikgautam@kuruvilla.net,55,27,No,0
ORD1089,31-01-2024,05-02-2024,CUST1097,Samar Oza,Home Office,PROD1001,Study Table,Furniture,North,Meghalaya,Vadodara,6,4700,5,26790.0,3230.55,7406.7,Cash,Returned,Srivastava Ltd,viraj89@shan.net,94,28,No,0
ORD1090,30-03-2024,03-04-2024,CUST1228,Nikita Deshmukh,Consumer,PROD1015,Rice Bag,Grocery,South,Maharashtra,Kolkata,8,11182,20,71564.8,8707.28,1906.56,Net Banking,Delivered,"Amble, Bhargava and Rau",warindersharaf@ramanathan.com,15,28,Yes,49
ORD1091,02-09-2024,08-09-2024,CUST1261,Janani Sama,Corporate,PROD1005,Pen,Office Supplies,West,Chhattisgarh,Warangal,8,5109,10,36784.8,1994.08,20832.16,UPI,Returned,Swaminathan PLC,jaichopra@nadig-dube.net,76,18,No,0
ORD1092,24-05-2023,25-05-2023,CUST1130,Chaitaly Srinivas,Home Office,PROD1015,Rice Bag,Grocery,West,Rajasthan,Medininagar,5,11182,10,50319.0,8707.28,6782.6,Credit Card,Returned,Mann LLC,gilljhalak@dhaliwal.com,15,28,Yes,49
ORD1093,13-04-2024,18-04-2024,CUST1227,Damini Chowdhury,Consumer,PROD1015,Rice Bag,Grocery,North,Nagaland,Dewas,9,11182,5,95606.1,8707.28,17240.58,UPI,Delivered,Dube-Mander,vchoudhry@dhar.com,15,28,Yes,49
ORD1094,08-03-2025,12-03-2025,CUST1293,Samar Baria,Home Office,PROD1005,Pen,Office Supplies,East,Madhya Pradesh,Bokaro,10,5109,20,40872.0,1994.08,20931.2,Net Banking,Returned,"Bera, Dutta and Saraf",htata@sharaf-loyal.com,76,18,No,0
ORD1095,01-02-2025,04-02-2025,CUST1178,Jhalak Kanda,Consumer,PROD1002,Sofa,Furniture,East,Arunachal Pradesh,Silchar,10,10208,0,102080.0,6313.28,38947.2,UPI,Pending,Srivastava Ltd,viraj89@shan.net,86,19,No,0
ORD1096,28-11-2024,03-12-2024,CUST1191,Lajita Varghese,Home Office,PROD1012,Mouse,Electronics,South,Telangana,Karnal,7,6429,15,38252.55,4008.17,10195.36,Cash,Delivered,Bawa LLC,xpant@nadkarni.com,76,29,No,0
ORD1097,25-01-2024,01-02-2024,CUST1083,Rayaan Solanki,Consumer,PROD1001,Study Table,Furniture,South,Rajasthan,Pali,4,4700,0,18800.0,3230.55,5877.8,Credit Card,Cancelled,Srivastava Ltd,viraj89@shan.net,94,28,No,0
ORD1098,25-05-2025,31-05-2025,CUST1029,Mason Sridhar,Home Office,PROD1006,Notebook,Office Supplies,South,Meghalaya,Ambarnath,9,12362,20,89006.4,4997.68,44027.28,Cash,Returned,Ben Ltd,gunbir50@kuruvilla.com,100,24,No,0
ORD1099,05-07-2024,08-07-2024,CUST1148,Megha Sangha,Consumer,PROD1005,Pen,Office Supplies,West,Gujarat,Muzaffarnagar,8,5109,15,34741.2,1994.08,18788.56,Cash,Delivered,Raval-Sani,bariaodika@sane.com,76,18,No,0
